value,date,geotrack,type_size,__name__,app,demo,job,repo,time_stamp
1.8,2022-09-11,ALDRR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
5.166666666666667,2022-09-11,BDCGP,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
3,2022-09-11,BDDAC,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2.4,2022-09-11,BEANR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1,2022-09-11,BGVAR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.3333333333333333,2022-09-11,BRPGU,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2.5,2022-09-11,BRSNT,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
4.333333333333333,2022-09-11,CACAL,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1,2022-09-11,CARGI,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
5.333333333333333,2022-09-11,CNHUA,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
8.333333333333334,2022-09-11,CNNTG,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
5.8,2022-09-11,CNOCQ,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2.75,2022-09-11,CNZSH,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1,2022-09-11,CWWTD,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.25,2022-09-11,ESTRG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2.2,2022-09-11,FRLEH,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1,2022-09-11,FRLEH,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2.6666666666666665,2022-09-11,HKHKG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.4,2022-09-11,HTPAP,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
47.666666666666664,2022-09-11,ILHFA,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
0.8333333333333334,2022-09-11,INAHM,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
